Name,Rating,Reviews,Company Type,Location,Highly Rated For,Critically Rated For
Ameriprise Financial,3.7,513,Financial Services,Gurgaon / Gurugram +11 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Electrotherm,4.2,513,Iron & Steel,Ahmedabad +33 other locations,"Job Security, Skill Development / Learning, Work Life Balance",None
United Spirits,4.0,512,Beverage,Bangalore / Bengaluru +93 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Praj Industries,4.1,512,Biotechnology,Pune +28 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Mindarika,3.8,512,Auto Components,Gurgaon / Gurugram +24 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance"
AVTEC,3.7,511,Auto Components,Hosur +22 other locations,None,"Job Security, Promotions / Appraisal, Salary & Benefits"
Coal India,4.0,511,Metals & Mining,Kolkata +57 other locations,"Job Security, Salary & Benefits, Work Life Balance","Skill Development / Learning, Company Culture"
Kothari Agritech,4.7,511,Building Material,Solapur +130 other locations,"Company Culture, Work Satisfaction, Work Life Balance",None
Shivam Autotech,3.7,513,Auto Components,Gurgaon / Gurugram +19 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
Forbes Marshall,4.1,511,Industrial Machinery,Pune +22 other locations,"Job Security, Company Culture, Skill Development / Learning",None
ASG Eye Hospital,3.5,510,Jaipur +67 other locations,Unknown,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
3M,4.3,510,Electronics Manufacturing,Bangalore / Bengaluru +44 other locations,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Dhanuka Agritech,3.8,510,Agro Chemicals,Gurgaon / Gurugram +88 other locations,Skill Development / Learning,Promotions / Appraisal
Sintex Industries,4.1,509,Industrial Machinery,Ahmedabad +53 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
ITC Limited Foods Division,4.0,508,Food Processing,Bangalore / Bengaluru +68 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Suraksha Diagnostic,3.9,509,Kolkata +29 other locations,Unknown,"Skill Development / Learning, Work Life Balance, Job Security",None
BOBCARD Ltd.,4.6,509,Financial Services,Mumbai +93 other locations,"Work Life Balance, Job Security, Skill Development / Learning",None
LG Soft India,3.3,508,Consumer Electronics & Appliances,Bangalore / Bengaluru +14 other locations,None,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Emami Agrotech,3.8,508,Food Processing,Kolkata +57 other locations,None,"Promotions / Appraisal, Salary & Benefits"
